Time,a_x,a_y,a_z
0.0,0.666852,-4.66796,9.84587
1.0,0.549172,-4.55029,9.76742
1.8,0.627625,-4.66796,9.92433
3.0,0.588399,-4.62874,9.8851
4.0,0.588399,-4.66796,10.042
5.0,0.588399,-4.55029,9.92433
6.4,0.509946,-4.70719,10.0028
7.6,0.588399,-4.66796,9.8851
8.4,0.509946,-4.66796,9.92433
9.4,0.627625,-4.58951,9.92433
10.4,0.549172,-4.66796,9.96355
11.4,0.588399,-4.70719,9.92433
12.4,0.588399,-4.66796,10.0028
13.4,0.470719,-4.70719,9.96355
14.4,0.470719,-4.4326,9.8851
15.4,0.588399,-4.55029,9.64974
16.4,0.666852,-4.35415,9.8851
17.4,0.549172,-4.62874,9.80664
18.4,0.549172,-4.66796,9.64974
19.4,0.549172,-4.39338,9.64974
20.4,0.666852,-4.4326,10.1205
21.4,0.588399,-4.70719,9.96355
22.4,0.549172,-4.62874,9.96355
23.4,0.392266,-4.66796,10.0812
24.4,0.549172,-4.78564,10.042
25.4,0.549172,-4.66796,9.96355
26.4,0.588399,-4.66796,9.96355
27.4,0.549172,-4.70719,10.0812
28.4,0.509946,-5.021,10.1205
29.4,0.549172,-4.66796,10.042
30.4,0.627625,-5.68785,12.0818
31.4,0.588399,-4.66796,9.92433
32.4,0.588399,-4.66796,10.0028
33.4,0.509946,-4.66796,10.0028
34.4,0.588399,-4.66796,9.96355
35.4,0.627625,-4.66796,10.042
36.4,0.509946,-4.70719,10.0028
37.4,0.509946,-4.58951,10.0028
38.6,0.509946,-4.70719,10.042
39.4,0.353039,-4.55029,9.92433
40.4,0.549172,-4.66796,10.0028
41.4,0.549172,-4.62874,9.92433
42.6,0.588399,-4.62874,10.0028
43.4,0.588399,-4.70719,10.0028
44.6,0.549172,-4.58951,9.96355
45.4,0.588399,-4.74642,10.042
46.6,0.588399,-4.55029,10.0812
48.0,0.627625,-4.70719,9.8851
49.0,0.549172,-4.62874,9.8851
50.0,0.588399,-4.62874,9.96355
51.0,0.588399,-4.35415,9.61051
52.0,0.627625,-4.70719,9.96355
53.0,0.549172,-4.66796,10.042
54.0,0.549172,-4.62874,9.96355
55.0,0.353039,-4.78564,10.2381
56.0,0.431492,-5.021,10.5912
57.0,0.627625,-4.58951,10.0028
58.0,0.549172,-4.39338,9.7282
59.0,0.588399,-4.66796,9.96355
60.0,0.588399,-4.66796,10.042
61.0,1.37293,-2.98122,6.47239
62.0,0.549172,-4.70719,10.0028
63.0,0.549172,-4.58951,10.042
64.0,0.588399,-4.62874,9.96355
65.0,0.588399,-4.2757,9.7282
66.0,0.588399,-4.62874,10.042
67.0,0.509946,-4.04034,8.31604
68.0,0.549172,-4.66796,10.0028
69.0,0.588399,-4.58951,10.0028
70.0,0.549172,-4.39338,9.92433
71.0,0.588399,-4.62874,9.92433
72.0,0.627625,-4.74642,10.1597
73.0,0.549172,-4.62874,10.0028
74.0,0.549172,-4.62874,10.042
75.0,0.627625,-4.74642,9.96355
76.0,0.549172,-4.66796,9.92433
77.0,0.549172,-4.62874,10.0028
78.0,0.588399,-4.62874,10.0028
79.0,0.549172,-4.62874,10.042
80.0,0.549172,-4.62874,10.0028
81.0,0.627625,-4.62874,9.96355
82.0,0.549172,-4.66796,10.0028
83.0,0.509946,-4.55029,9.96355
84.0,0.627625,-4.39338,9.84587
85.0,0.549172,-4.62874,9.92433
87.6,0.313813,-4.82487,9.96355
88.6,0.549172,-4.66796,10.0812
89.6,0.588399,-4.62874,10.0028
90.6,0.588399,-4.58951,9.96355
